latitude,longitude,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90,u10_mean,v10_mean,wind10_direction_deg_mean
47.25,6.0,2.7937036,0.023231685,10.761657,4.809274,-0.1442128,0.47511762,163.11536
47.25,6.25,2.8111162,0.04181519,10.084496,4.6368365,-0.25394198,0.6628292,159.03726
47.25,6.5,2.595899,0.07645391,9.1224985,4.425879,-0.12063628,0.55739176,167.78784
47.25,6.75,2.3867552,0.06597086,9.111369,4.2254295,-0.0040326044,0.44922823,179.48569
47.25,7.0,2.1599371,0.04617778,8.305722,3.8232503,0.14308108,0.36029392,201.65918
47.25,7.25,1.8267106,0.010398414,8.271975,3.4351218,0.17064624,0.1480471,229.05615
47.25,7.5,1.711517,0.009447606,7.895557,3.2202635,0.035874132,0.04461609,218.80147
47.25,7.75,1.664701,0.005442791,8.333052,3.1599133,0.092833474,-0.13530017,325.54483
47.25,8.0,1.7164603,0.014823032,8.354846,3.0382214,0.19129317,-0.17038038,311.6907
47.25,8.25,1.4742347,0.009732405,7.2479815,2.5247145,0.10686543,-0.013260956,277.0737
47.25,8.5,1.4485044,0.022474725,6.7468023,2.4397695,-0.0116152335,0.057511397,168.58191
47.25,8.75,1.6115781,0.0024361555,6.504488,2.6219666,-0.19576314,0.23207897,139.85172
47.25,9.0,1.4160172,0.010029935,5.514589,2.4163737,0.063091576,0.23432383,195.06949
47.25,9.25,1.3664309,0.0073296367,4.985887,2.2873492,0.2825324,0.26175687,227.18591
47.25,9.5,1.2173539,0.004769,4.077148,2.011524,0.07546984,0.24294835,197.25696
47.25,9.75,1.2832061,0.020084983,4.401466,2.1264076,-0.05787899,0.25442407,167.1839
47.25,10.0,1.4950466,0.009235211,4.475659,2.508194,-0.19115591,0.33922905,150.5987
47.25,10.25,1.3547014,0.025845295,4.110881,2.216858,0.07802551,0.3275299,193.39949
47.25,10.5,1.3591584,0.015518669,4.0168533,2.2107775,0.16459188,0.38489607,203.15286
47.25,10.75,1.3044254,0.010960017,3.6633213,2.1167262,0.09731664,0.37143868,194.68146
47.25,11.0,1.2805922,0.019281037,3.6300745,2.0958807,-0.015938865,0.376611,177.5766
47.25,11.25,1.2757634,0.03842114,3.816688,2.1378937,0.018747611,0.3069627,183.49496
47.25,11.5,1.2915761,0.02239354,3.9733484,2.1962585,0.06098271,0.2621863,193.0938
47.25,11.75,1.3386211,0.014998792,4.2185545,2.2855594,0.0981165,0.2885401,198.78033
47.25,12.0,1.3405514,0.024319628,4.2218604,2.314674,-0.064095885,0.31395414,168.46124
47.25,12.25,1.3360454,0.018716123,4.174016,2.286143,0.043797553,0.35392487,187.05438
47.25,12.5,1.3255845,0.017292686,4.2362647,2.2549598,0.10475501,0.33045503,197.58875
47.25,12.75,1.3420281,0.025744725,4.045279,2.243102,0.3017699,0.28452337,226.68494
47.25,13.0,1.3408207,0.0033780215,4.32431,2.2215855,0.3621907,0.22554703,238.08824
47.25,13.25,1.4049132,0.017463502,4.6740685,2.2889042,0.31201613,0.22476901,234.23192
