date,temp_c_mean,temp_c_min,temp_c_max,dewpoint_c_mean,precipitation_mm_total,wind10_mps_mean,wind10_mps_max,pressure_hpa_mean,boundary_layer_height_m_mean
2026-07-15,25.09144,21.510956,28.555328,21.444254,9.193897,2.6880467,4.6780763,1016.2873,433.69107
2026-07-16,24.3216,21.991394,27.084991,21.834448,0.32746792,2.9644902,5.591693,1015.83356,457.20004
2026-07-17,23.63352,20.383057,26.66742,20.15312,0.23889542,3.5086908,4.759542,1016.9312,634.63
2026-07-18,23.574697,19.750153,27.919342,18.79119,0.0015497208,3.1648064,5.368487,1016.6201,639.1789
2026-07-20,24.600794,19.891724,28.826996,12.879028,0.0,5.462469,6.117331,1016.5005,659.27344
2026-07-21,23.8282,18.497833,28.764618,10.905171,0.0,5.634901,6.303603,1019.3182,783.5818
2026-07-22,24.23059,17.917816,29.936676,11.230697,0.0,4.587674,5.3486366,1018.85614,688.82745
2026-07-23,24.723192,18.82019,30.031769,12.966488,0.0,4.297659,5.1226215,1016.5118,605.3352
2026-07-24,24.31407,18.505005,30.736359,14.406749,0.2975464,3.9444249,5.1438885,1011.7087,486.61465
2026-07-25,21.97238,19.8768,23.820343,18.014063,0.2590418,4.912139,6.674341,1011.1744,627.96674
